"id","2012","2024","change","label_t_0","label_t_1","label_change"
"AC",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"AL",5,3,-2,"Cluster 5 (top performer)","Cluster 3","-2 clusters or more"
"AM",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"AP",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"BA",3,2,-1,"Cluster 3","Cluster 2","-1 cluster"
"CE",4,5,1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"DF",2,2,0,"Cluster 2","Cluster 2","remained the same"
"ES",2,2,0,"Cluster 2","Cluster 2","remained the same"
"GO",2,2,0,"Cluster 2","Cluster 2","remained the same"
"MA",4,4,0,"Cluster 4","Cluster 4","remained the same"
"MG",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"MS",2,2,0,"Cluster 2","Cluster 2","remained the same"
"MT",2,3,1,"Cluster 2","Cluster 3","+1 cluster"
"PA",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"PB",3,3,0,"Cluster 3","Cluster 3","remained the same"
"PE",3,3,0,"Cluster 3","Cluster 3","remained the same"
"PI",4,4,0,"Cluster 4","Cluster 4","remained the same"
"PR",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"RJ",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"RN",3,2,-1,"Cluster 3","Cluster 2","-1 cluster"
"RO",2,4,2,"Cluster 2","Cluster 4","+2 clusters or more"
"RR",4,4,0,"Cluster 4","Cluster 4","remained the same"
"RS",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"SC",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"SE",3,3,0,"Cluster 3","Cluster 3","remained the same"
"SP",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"TO",4,4,0,"Cluster 4","Cluster 4","remained the same"
