"id","2011","2016","change","label_t_0","label_t_1","label_change"
"AC",4,4,0,"Cluster 2","Cluster 2","remained the same"
"AL",2,2,0,"Cluster 4","Cluster 4","remained the same"
"AM",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"AP",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"BA",5,4,-1,"Cluster 1 (lagging behind)","Cluster 2","+1 cluster"
"CE",3,3,0,"Cluster 3","Cluster 3","remained the same"
"DF",2,2,0,"Cluster 4","Cluster 4","remained the same"
"ES",2,2,0,"Cluster 4","Cluster 4","remained the same"
"GO",4,4,0,"Cluster 2","Cluster 2","remained the same"
"MA",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"MG",4,1,-3,"Cluster 2","Cluster 5 (top performer)","+2 clusters or more"
"MS",3,3,0,"Cluster 3","Cluster 3","remained the same"
"MT",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"PA",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"PB",3,3,0,"Cluster 3","Cluster 3","remained the same"
"PE",3,3,0,"Cluster 3","Cluster 3","remained the same"
"PI",4,4,0,"Cluster 2","Cluster 2","remained the same"
"PR",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"RJ",2,2,0,"Cluster 4","Cluster 4","remained the same"
"RN",2,3,1,"Cluster 4","Cluster 3","-1 cluster"
"RO",5,5,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"RR",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"RS",3,4,1,"Cluster 3","Cluster 2","-1 cluster"
"SC",1,1,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"SE",2,2,0,"Cluster 4","Cluster 4","remained the same"
"SP",1,2,1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"TO",4,5,1,"Cluster 2","Cluster 1 (lagging behind)","-1 cluster"
