"id","2012","2021","change","label_t_0","label_t_1","label_change"
"AC",2,2,0,"Cluster 2","Cluster 2","remained the same"
"AL",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"AM",4,4,0,"Cluster 4","Cluster 4","remained the same"
"AP",5,4,-1,"Cluster 5 (top performer)","Cluster 4","-1 cluster"
"BA",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"CE",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"DF",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"ES",4,3,-1,"Cluster 4","Cluster 3","-1 cluster"
"GO",3,3,0,"Cluster 3","Cluster 3","remained the same"
"MA",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"MG",3,3,0,"Cluster 3","Cluster 3","remained the same"
"MS",3,4,1,"Cluster 3","Cluster 4","+1 cluster"
"MT",3,3,0,"Cluster 3","Cluster 3","remained the same"
"PA",2,2,0,"Cluster 2","Cluster 2","remained the same"
"PB",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"PE",2,2,0,"Cluster 2","Cluster 2","remained the same"
"PI",1,1,0,"Cluster 1 (lagging behind)","Cluster 1 (lagging behind)","remained the same"
"PR",4,4,0,"Cluster 4","Cluster 4","remained the same"
"RJ",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"RN",2,2,0,"Cluster 2","Cluster 2","remained the same"
"RO",2,2,0,"Cluster 2","Cluster 2","remained the same"
"RR",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"RS",4,5,1,"Cluster 4","Cluster 5 (top performer)","+1 cluster"
"SC",4,4,0,"Cluster 4","Cluster 4","remained the same"
"SE",2,2,0,"Cluster 2","Cluster 2","remained the same"
"SP",5,5,0,"Cluster 5 (top performer)","Cluster 5 (top performer)","remained the same"
"TO",3,3,0,"Cluster 3","Cluster 3","remained the same"
