"Unidade da Federação";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Rondônia";"61,4";"59,8";"59,1";"57,9";"58,1";"58,5";"57,0";"59,1";"57,0";"54,3";"58,0";"55,1"
"Acre";"55,0";"54,1";"54,3";"54,7";"49,9";"48,1";"49,8";"47,3";"42,3";"46,2";"47,5";"45,7"
"Amazonas";"56,8";"58,1";"57,3";"55,1";"55,5";"54,8";"54,0";"55,6";"50,5";"53,2";"54,2";"55,1"
"Roraima";"59,7";"61,0";"60,7";"60,0";"58,2";"55,6";"56,2";"56,3";"49,7";"51,6";"55,8";"58,4"
"Pará";"58,2";"57,5";"56,3";"58,0";"54,6";"54,8";"53,1";"53,8";"50,1";"50,3";"55,4";"56,4"
"Amapá";"56,7";"55,1";"54,6";"54,7";"52,6";"50,0";"47,6";"53,1";"46,7";"49,5";"53,0";"54,5"
"Tocantins";"56,9";"56,6";"57,4";"55,0";"54,2";"53,0";"52,8";"53,4";"49,1";"52,7";"56,7";"60,1"
"Maranhão";"51,7";"51,0";"52,5";"52,2";"48,4";"45,5";"43,0";"42,7";"39,3";"39,9";"44,8";"46,7"
"Piauí";"54,0";"55,1";"56,6";"56,7";"51,4";"50,1";"48,3";"50,1";"43,7";"47,8";"48,2";"47,6"
"Ceará";"51,1";"51,7";"51,6";"49,9";"48,7";"49,4";"50,5";"50,9";"44,3";"45,0";"46,9";"49,0"
"Rio Grande do Norte";"50,8";"51,1";"50,8";"51,5";"48,8";"46,2";"47,9";"48,1";"43,1";"45,3";"47,0";"46,6"
"Paraíba";"50,7";"51,6";"53,0";"52,7";"48,0";"49,0";"49,0";"47,4";"40,3";"41,5";"45,1";"47,6"
"Pernambuco";"50,4";"49,6";"51,6";"50,5";"46,6";"45,7";"48,1";"46,8";"41,3";"43,0";"46,6";"47,3"
"Alagoas";"46,0";"46,7";"46,2";"45,2";"43,6";"39,9";"38,2";"40,0";"35,8";"41,6";"44,8";"47,3"
"Sergipe";"54,7";"53,6";"56,2";"54,5";"51,7";"49,6";"47,9";"52,0";"45,2";"46,8";"51,3";"51,5"
"Bahia";"55,4";"54,9";"56,4";"56,3";"51,2";"50,1";"49,8";"50,4";"42,8";"43,6";"49,7";"50,3"
"Minas Gerais";"59,7";"60,2";"59,3";"59,4";"57,5";"57,6";"58,4";"59,5";"54,1";"55,3";"59,1";"61,1"
"Espírito Santo";"61,9";"61,1";"60,2";"58,9";"56,1";"57,5";"59,9";"61,1";"55,7";"56,6";"59,1";"60,3"
"Rio de Janeiro";"56,3";"56,0";"55,1";"54,4";"52,8";"52,8";"52,8";"53,3";"46,9";"48,3";"52,1";"55,3"
"São Paulo";"60,2";"60,8";"60,3";"59,0";"59,3";"59,2";"60,0";"61,1";"55,6";"55,7";"60,7";"62,3"
"Paraná";"63,4";"64,0";"63,0";"62,0";"60,5";"60,4";"61,0";"61,5";"57,3";"58,5";"61,1";"62,4"
"Santa Catarina";"64,6";"63,3";"63,6";"63,0";"62,4";"62,5";"63,4";"64,0";"60,6";"61,7";"64,6";"65,9"
"Rio Grande do Sul";"61,5";"63,0";"61,7";"62,1";"61,4";"60,5";"60,1";"61,6";"56,4";"58,2";"60,4";"62,2"
"Mato Grosso do Sul";"61,8";"63,3";"62,9";"61,6";"62,1";"61,2";"62,6";"63,6";"57,5";"59,7";"62,3";"64,2"
"Mato Grosso";"61,5";"63,6";"62,5";"62,8";"59,6";"60,2";"61,4";"63,9";"59,7";"60,8";"62,4";"64,7"
"Goiás";"63,1";"62,7";"62,9";"61,0";"59,6";"60,4";"61,1";"60,4";"54,6";"56,3";"61,6";"64,7"
"Distrito Federal";"61,7";"62,9";"59,9";"60,1";"59,8";"59,2";"59,8";"58,4";"53,6";"57,2";"61,9";"61,8"
