Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
AC;12;Acre;53,9;53,5;51,4;52,5;56,6;54,6;50,2;51,9;48,4;54,1;51;
AL;27;Alagoas;60,4;60,3;56,4;59,7;58,4;59,3;59,7;58,2;53,7;60,3;54,2;
AM;13;Amazonas;53,5;53,4;50,6;52,2;59,3;56,7;55,2;56,4;51,6;58,4;55,1;
AP;16;Amapá;52,7;46,3;46,6;48,6;51,7;55,4;52,8;53,5;49,1;57;47,8;
BA;29;Bahia;55,5;52,1;48,5;48,7;52,7;54,1;53,4;50,6;46,6;55,8;50,5;
CE;23;Ceará;56,2;52,4;51,6;52,2;54,4;52,3;51,6;51;47,5;54,6;50,7;
DF;53;Distrito Federal;21,1;18,6;19,6;18,9;20;20,4;19,4;18;17,9;21;17,1;
ES;32;Espírito Santo;29,7;30,1;28,5;30,6;32,5;31;29,2;27,7;26,2;34,1;26,3;
GO;52;Goiás;27,6;21,5;23,2;24,8;28,1;25,5;26,5;27,1;26;31,4;22,7;
MA;21;Maranhão;64,3;62,3;60,8;61,3;62,8;62,8;63,2;62,1;57,3;65,6;56,7;
MG;31;Minas Gerais;31,4;28,8;27,4;26,6;30;29,3;28,9;27,3;24,3;31,3;27;
MS;50;Mato Grosso do Sul;26,8;25,5;23,5;24,4;23,5;25,1;24,5;22,2;23,9;29,8;21,3;
MT;51;Mato Grosso;26,7;23;24;23,5;26,6;24,9;23,4;23;24,2;28,6;22,1;
PA;15;Pará;54,5;54,6;51;53,1;55;53,9;53,4;54,7;46,3;55,1;47;
PB;25;Paraíba;54,8;52,8;49,5;48,3;52,2;49,6;50,3;51,9;49,2;56,2;52,7;
PE;26;Pernambuco;54;49,7;46,5;48,9;51,6;51,1;50;51,8;49,2;59,7;50,7;
PI;22;Piauí;55,4;51;49,8;48,9;53,1;53,2;52,2;52,6;46,6;51,8;48,2;
PR;41;Paraná;21,4;19,7;17,8;19,7;21,6;20,5;20,4;20,1;20,1;23,4;20;
RJ;33;Rio de Janeiro;26,7;24,5;22,8;23,5;25,7;25,4;25,7;25,8;25,9;30,5;26,6;
RN;24;Rio Grande do Norte;51,5;47,8;45,8;43,8;45,9;48,8;47,3;47,1;41,6;50,9;44,2;
RO;11;Rondônia;39,9;37,5;35,6;37,8;37,6;34,7;33,5;32,5;28,7;39,2;29,6;
RR;14;Roraima;41,4;42,5;39,3;38;40,3;43,7;40,3;49,7;48,5;57,1;45,1;
RS;43;Rio Grande do Sul;20;16,7;16,8;15,8;17,6;17,3;19,5;15,9;16,8;18,9;16,8;
SC;42;Santa Catarina;15;13,3;12;12,6;14,1;12,2;12,4;11,9;13,3;14,8;12,8;
SE;28;Sergipe;52,6;52,1;49,1;48,6;51,1;51;53,2;52,5;43,9;55,7;45,6;
SP;35;São Paulo;18,8;17,6;16,5;18,3;18,7;20,9;20,1;18,7;20,2;23,7;19,6;
TO;17;Tocantins;48,2;47,1;42,1;43,3;43,4;42,2;41,3;43,7;38,2;42,8;34;
