,time,12,27,13,16,29,23,53,32,52,21,31,50,51,15,25,26,22,41,33,24,11,14,43,42,28,35,17
1,2012,73.0,72.6,76.1,75.8,60.8,68.2,50.8,48.2,57.6,70.6,45.7,46.1,55.2,73.1,62.2,60.2,71.2,24.4,39.4,59.1,58.4,70.7,9.6,9.9,68.0,28.6,68.0
2,2013,75.1,72.6,78.5,69.1,63.0,69.7,49.2,51.7,59.1,70.8,47.6,49.6,57.2,74.5,61.9,61.3,73.0,26.4,41.6,59.4,61.6,66.5,9.5,10.3,67.9,28.5,71.7
3,2014,78.9,71.3,80.3,63.5,61.0,69.0,50.8,51.7,57.3,73.9,48.3,49.9,58.6,74.6,60.8,64.8,71.8,25.8,42.4,57.8,66.0,68.0,9.6,9.4,70.3,28.2,70.2
4,2015,78.5,71.4,80.6,65.8,59.6,68.6,53.5,51.2,56.6,72.6,47.4,50.3,58.6,74.6,60.3,64.7,74.0,25.8,42.8,55.7,64.2,66.6,10.8,9.8,71.1,29.3,67.6
5,2016,76.4,69.4,78.9,70.0,60.0,68.8,54.7,50.0,58.0,69.1,47.3,50.7,58.2,73.3,60.6,63.0,72.9,26.9,42.2,57.0,61.8,64.8,12.0,11.6,70.8,29.6,66.8
6,2017,74.9,70.0,78.9,73.5,58.3,68.4,54.6,49.3,56.2,68.8,48.5,48.9,57.1,72.0,61.0,62.9,70.1,27.6,43.0,57.1,61.4,63.5,13.2,13.9,71.6,31.5,65.4
7,2018,73.6,68.2,78.7,74.3,57.0,68.3,51.5,49.8,55.1,67.2,48.5,47.4,57.2,72.6,60.9,60.2,71.3,28.9,41.5,56.4,62.8,63.4,13.2,15.6,70.3,33.1,64.8
8,2019,74.6,68.2,78.0,75.3,56.6,67.5,49.6,50.8,56.2,66.8,48.5,49.4,56.9,72.6,60.5,60.2,70.5,30.6,40.8,53.7,62.2,63.1,13.4,15.7,69.2,32.9,65.5
9,2020,76.1,67.8,80.8,77.1,56.8,66.4,48.7,50.9,57.7,67.3,48.3,49.7,59.1,73.0,59.6,61.5,71.7,30.2,40.6,53.9,62.9,66.3,12.7,15.8,70.3,32.0,66.5
10,2022,72.1,63.0,74.9,70.1,54.5,64.1,48.3,49.2,54.2,64.7,46.2,47.3,57.6,69.2,59.6,55.8,66.3,30.8,36.9,54.2,60.0,67.6,14.0,17.1,60.8,32.3,63.0
11,2023,71.8,62.4,74.6,68.7,54.8,65.3,48.9,49.1,54.3,64.3,46.9,48.3,56.1,69.1,58.7,55.6,66.6,30.3,36.6,53.6,61.5,65.0,15.2,18.4,61.9,32.3,63.2
12,2024,70.1,62.3,73.6,67.0,54.6,65.8,48.0,48.6,53.7,65.2,46.8,49.1,55.4,68.3,57.5,55.9,64.7,31.3,37.4,51.9,63.4,65.2,15.7,19.0,62.7,33.1,62.7
